調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,北海道 津別町,-,-,X
2015年度,北海道 斜里町,"6,207",3.18,581
2015年度,北海道 清里町,-,-,116
2015年度,北海道 小清水町,-,-,X
2015年度,北海道 訓子府町,-,-,X
2015年度,北海道 置戸町,-,-,X
2015年度,北海道 佐呂間町,-,-,130
2015年度,北海道 遠軽町,"10,851",3.74,X
2015年度,北海道 湧別町,-,-,497
2015年度,北海道 滝上町,-,-,X
2015年度,北海道 興部町,-,-,X
2015年度,北海道 西興部村,-,-,X
2015年度,北海道 雄武町,-,-,155
2015年度,北海道 大空町,-,-,513
2015年度,北海道 豊浦町,-,-,42
2015年度,北海道 壮瞥町,-,-,43
2015年度,北海道 白老町,"5,484",1.65,493
2015年度,北海道 厚真町,-,-,X
2015年度,北海道 洞爺湖町,-,-,222
2015年度,北海道 安平町,-,-,X
2015年度,北海道 むかわ町,-,-,160
2015年度,北海道 日高町,-,-,341
2015年度,北海道 平取町,-,-,165
2015年度,北海道 新冠町,-,-,X
2015年度,北海道 浦河町,-,-,"1,240"
2015年度,北海道 様似町,-,-,109
2015年度,北海道 えりも町,-,-,X
2015年度,北海道 新ひだか町,"11,640",3.46,"1,276"
2015年度,北海道 音更町,"36,436",8.69,807
2015年度,北海道 士幌町,-,-,X
2015年度,北海道 上士幌町,-,-,257
2015年度,北海道 鹿追町,-,-,X
2015年度,北海道 新得町,-,-,120
2015年度,北海道 清水町,-,-,X
2015年度,北海道 芽室町,"12,054",3.96,333
2015年度,北海道 中札内村,-,-,X
2015年度,北海道 更別村,-,-,0
2015年度,北海道 大樹町,-,-,X
2015年度,北海道 広尾町,-,-,X
2015年度,北海道 幕別町,"14,568",3.04,523
2015年度,北海道 池田町,-,-,X
2015年度,北海道 豊頃町,-,-,X
2015年度,北海道 本別町,-,-,273
2015年度,北海道 足寄町,-,-,243
2015年度,北海道 陸別町,-,-,81
2015年度,北海道 浦幌町,-,-,85
2015年度,北海道 釧路町,"10,923",2.39,286
2015年度,北海道 厚岸町,-,-,458
2015年度,北海道 浜中町,-,-,114
2015年度,北海道 標茶町,-,-,695
2015年度,北海道 弟子屈町,-,-,X
2015年度,北海道 鶴居村,-,-,0
2015年度,北海道 白糠町,-,-,272
2015年度,北海道 別海町,-,-,"1,193"
2015年度,北海道 中標津町,"9,663",3.13,"2,194"
2015年度,北海道 標津町,-,-,139
2015年度,北海道 羅臼町,-,-,X
2015年度,青森県 青森市,"224,677",40.28,"54,349"
2015年度,青森県 弘前市,"119,063",25.49,"12,117"
2015年度,青森県 八戸市,"156,053",47.65,"22,079"
2015年度,青森県 黒石市,"16,009",4.43,"1,404"
2015年度,青森県 五所川原市,"16,047",4.78,"4,096"
2015年度,青森県 十和田市,"26,779",7.56,"3,507"
2015年度,青森県 三沢市,"23,434",21.61,"2,036"
2015年度,青森県 むつ市,"17,156",4.93,"2,778"
2015年度,青森県 つがる市,-,-,418
2015年度,青森県 平川市,"5,222",1.42,X
2015年度,青森県 平内町,-,-,X
2015年度,青森県 今別町,-,-,X
2015年度,青森県 蓬田村,-,-,0
2015年度,青森県 外ヶ浜町,-,-,175
2015年度,青森県 鰺ヶ沢町,-,-,X
2015年度,青森県 深浦町,-,-,186
2015年度,青森県 西目屋村,-,-,0
2015年度,青森県 藤崎町,-,-,181
2015年度,青森県 大鰐町,-,-,X
2015年度,青森県 田舎館村,-,-,X
2015年度,青森県 板柳町,-,-,X
2015年度,青森県 鶴田町,-,-,245
2015年度,青森県 中泊町,-,-,129
2015年度,青森県 野辺地町,"5,594",1.76,720
2015年度,青森県 七戸町,-,-,X
2015年度,青森県 六戸町,-,-,X
2015年度,青森県 横浜町,-,-,X
2015年度,青森県 東北町,-,-,X
2015年度,青森県 六ヶ所村,-,-,-6
2015年度,青森県 おいらせ町,-,-,616
2015年度,青森県 大間町,-,-,259
2015年度,青森県 東通村,-,-,56
2015年度,青森県 風間浦村,-,-,X
2015年度,青森県 佐井村,-,-,0
2015年度,青森県 三戸町,-,-,X
2015年度,青森県 五戸町,-,-,X
2015年度,青森県 田子町,-,-,X
2015年度,青森県 南部町,-,-,238
2015年度,青森県 階上町,-,-,90
2015年度,青森県 新郷村,-,-,X
2015年度,岩手県 盛岡市,"237,280",41.94,"53,350"
2015年度,岩手県 宮古市,"15,521",4.47,"2,961"
2015年度,岩手県 大船渡市,"5,063",2.62,"1,999"
2015年度,岩手県 花巻市,"13,659",3.88,"3,552"
2015年度,岩手県 北上市,"30,471",7.51,"5,835"
2015年度,岩手県 久慈市,"7,837",2.9,"1,379"
2015年度,岩手県 遠野市,-,-,X
2015年度,岩手県 一関市,"23,292",6.79,"6,315"
2015年度,岩手県 陸前高田市,-,-,569
2015年度,岩手県 釜石市,"15,419",4.84,"2,404"
2015年度,岩手県 二戸市,-,-,"1,403"
2015年度,岩手県 八幡平市,-,-,453
2015年度,岩手県 奥州市,"24,831",6.1,"5,704"
2015年度,岩手県 滝沢市,"25,076",4.22,598
2015年度,岩手県 雫石町,-,-,258
2015年度,岩手県 葛巻町,-,-,138
2015年度,岩手県 岩手町,-,-,426
2015年度,岩手県 紫波町,-,-,655
2015年度,岩手県 矢巾町,"9,471",1.76,"1,455"
2015年度,岩手県 西和賀町,-,-,X
2015年度,岩手県 金ケ崎町,-,-,298
2015年度,岩手県 平泉町,-,-,X
2015年度,岩手県 住田町,-,-,X
2015年度,岩手県 大槌町,-,-,253
2015年度,岩手県 山田町,-,-,470
2015年度,岩手県 岩泉町,-,-,274
2015年度,岩手県 田野畑村,-,-,X
2015年度,岩手県 普代村,-,-,X
2015年度,岩手県 軽米町,-,-,193
2015年度,岩手県 野田村,-,-,154
2015年度,岩手県 九戸村,-,-,X
